profil,id,score,score_wall_height,score_slope_compact,score_geology,score_south_aspect,score_access,vert_extent_m,area_m2,slope_mean_deg,slope_max_deg,slope_std_deg,aspect_mean_deg,elev_m,z_min_m,z_max_m,ndom_mean_m,geologie,geologie_klasse,geologie_eignung,im_schutzgebiet,schutzgebiet,dist_weg_m,weg_typ,centroid_e,centroid_n,lat,lon
25m,7,0.9119,1.0000,0.9021,0.7000,0.9985,0.9168,48.5801,825.0000,56.0830,60.6595,2.4476,175.6182,1355.5763,1328.4399,1377.0200,1.5756,Permo-jurassische Sedimentabfolge,gemischt_karbonat_werfener,0.7000,False,,258.1052,track,722503.6742,5175315.7197,46.6944,11.9102
25m,5,0.8816,1.0000,0.8780,0.6500,0.8399,1.0000,58.0299,1400.0000,49.3904,54.9071,3.0500,132.8306,1195.7775,1165.5601,1223.5900,2.1216,Niedriggradig metamorphes varisziches Grundgebirge: Brixen Quartzphyllit,mittel,0.6500,False,,70.3653,track,719456.3393,5176053.5714,46.7020,11.8708
25m,1,0.8684,1.0000,0.7736,0.6500,0.8912,1.0000,70.1500,3425.0000,51.2533,64.8158,5.6602,218.5146,927.6118,896.2000,966.3500,0.7995,Niedriggradig metamorphes varisziches Grundgebirge: Brixen Quartzphyllit,mittel,0.6500,False,,30.1912,primary,719077.6369,5182437.1807,46.7595,11.8689
25m,16,0.7998,1.0000,0.8609,0.7000,0.2507,1.0000,50.0300,850.0000,59.7114,65.9625,3.4768,60.0950,1424.7318,1401.1100,1451.1400,0.1017,Permo-jurassische Sedimentabfolge,gemischt_karbonat_werfener,0.7000,False,,76.9655,track,724087.5735,5174672.1324,46.6881,11.9306
25m,19,0.7832,0.9257,0.8886,0.7000,0.2764,1.0000,37.0299,325.0000,56.0288,61.6747,2.7857,63.4401,1657.5777,1640.4301,1677.4600,2.0130,Permo-jurassische Sedimentabfolge,gemischt_karbonat_werfener,0.7000,False,,34.3797,track,725052.4038,5173284.9038,46.6753,11.9425
25m,2,0.7812,0.8358,0.8015,0.6500,0.6563,1.0000,33.4301,600.0000,58.7726,67.5730,4.9629,251.7897,909.4475,893.2200,926.6500,1.9559,Niedriggradig metamorphes varisziches Grundgebirge: Brixen Quartzphyllit,mittel,0.6500,False,,11.8248,primary,719113.1250,5182348.5417,46.7587,11.8693
25m,15,0.7671,1.0000,0.8410,0.7000,0.0593,1.0000,40.3401,400.0000,57.2618,64.1362,3.9746,28.1817,1815.1094,1795.9399,1836.2800,1.3921,Permo-jurassische Sedimentabfolge,gemischt_karbonat_werfener,0.7000,False,,85.3638,path,723259.6875,5174773.4375,46.6892,11.9198
25m,9,0.7665,1.0000,0.8697,0.7000,0.0256,0.9872,45.4700,1150.0000,57.1327,61.4884,3.2578,18.4293,1504.1094,1485.0000,1530.4700,0.5862,Permo-jurassische Sedimentabfolge,gemischt_karbonat_werfener,0.7000,False,,124.2418,track,723396.7935,5175210.8152,46.6931,11.9218
25m,10,0.7593,1.0000,0.7979,0.7000,0.0649,1.0000,67.7000,2175.0000,55.5917,63.9051,5.0519,29.5087,1667.8237,1634.2700,1701.9700,0.5179,Permo-jurassische Sedimentabfolge,gemischt_karbonat_werfener,0.7000,False,,69.2207,track,723420.9626,5174988.4052,46.6911,11.9220
25m,12,0.7592,1.0000,0.8458,0.7000,0.0004,1.0000,85.9800,2950.0000,56.2578,65.6731,3.8543,2.3618,1640.7248,1606.2100,1692.1899,1.9920,Permo-jurassische Sedimentabfolge,gemischt_karbonat_werfener,0.7000,False,,39.3303,track,723567.2669,5174951.6737,46.6907,11.9239
25m,13,0.7590,1.0000,0.7946,0.7000,0.0763,0.9863,100.9600,3275.0000,54.5368,64.5693,5.1355,32.0785,1720.5497,1673.0100,1773.9700,0.1540,Permo-jurassische Sedimentabfolge,gemischt_karbonat_werfener,0.7000,False,,126.0163,track,723452.7385,5174903.8263,46.6904,11.9224
25m,6,0.7547,0.9867,0.8730,0.7000,0.0084,0.9350,39.4700,650.0000,49.7246,54.1115,3.1757,10.5356,1531.8142,1513.0601,1552.5300,0.4259,Permo-jurassische Sedimentabfolge,gemischt_karbonat_werfener,0.7000,True,Fanes-Sennes-Prags,223.4270,track,725877.9808,5175414.7115,46.6941,11.9543
